,ds,name,phase,type,volt,Ek,gamma,beta,Brho,tpass,phi_o,phi_t,phi_c,phi_b
qm11,0.18555555555555572,qm11,0.0,quadrupole,0.0,26.93924131854709,1.0143597154013948,0.16766771158037908,1.0642776041430406,2.3419023935271032e-07,34.51949018922733,-45.0,-79.51949018922733,0.0
dr31,0.22,dr31,0.0,drift,0.0,26.93924131854709,1.0143597154013948,0.16766771158037908,1.0642776041430406,2.3822437242062126e-07,140.5365072139266,-45.0,174.4634927860734,0.0
rf21,1e-05,rf21,-45.0,rfcavity,1.225792737,27.37262449687805,1.0145907263280574,0.16898220883131104,1.072865708279249,2.4041285015271325e-07,-161.95029798669566,-45.0,116.95029798669566,0.0
dr32,0.3194444444444444,dr32,0.0,drift,0.0,27.80600767520901,1.01482173725472,0.1702856721084262,1.0813875423734303,2.4354166766062824e-07,-79.72497387868953,-45.0,34.724973878689525,0.0
rf22,1e-05,rf22,-45.0,rfcavity,1.220317641,28.237455114785345,1.0150517163536008,0.1715726034340395,1.089807028275076,2.466704836784058e-07,2.5003110685056527,-45.0,-47.50031106850565,0.0
dr33,0.22,dr33,0.0,drift,0.0,28.66890255436168,1.015281695452482,0.1728490886259727,1.0981638507893008,2.4879336040239667e-07,58.28951137498461,-45.0,-103.28951137498461,0.0
qm12,0.18555555555555572,qm12,0.0,quadrupole,0.0,28.66890255436168,1.015281695452482,0.1728490886259727,1.0981638507893008,2.5270656506598045e-07,161.128529933967,-45.0,153.871470066033,0.0
dr34,0.22,dr34,0.0,drift,0.0,28.66890255436168,1.015281695452482,0.1728490886259727,1.0981638507893008,2.5661976972956423e-07,-96.03245150705152,-45.0,51.03245150705152,0.0
rf23,1e-05,rf23,-45.0,rfcavity,1.214101809,29.098152365459057,1.0155105031256666,0.17410893382531825,1.106417328106277,2.5874264503748053e-07,-40.24328841501119,-45.0,-4.756711584988807,0.0
dr35,0.3194444444444444,dr35,0.0,drift,0.0,29.527402176556436,1.0157393107988515,0.1753588859300887,1.1146115309031486,2.6178094435433547e-07,39.60321763193588,-45.0,-84.60321763193588,0.0
rf24,1e-05,rf24,-45.0,rfcavity,1.207200725,29.954212086006844,1.0159668179048509,0.1765921329107102,1.1227016712871134,2.648192423241879e-07,119.4496882796575,-45.0,-164.4496882796575,0.0
dr36,0.22,dr36,0.0,drift,0.0,30.381021995457253,1.0161943250108503,0.1778160072873822,1.1307357225522288,2.668828208743363e-07,173.68053257755764,-45.0,141.31946742244236,0.0
qm13,0.18555555555555572,qm13,0.0,quadrupole,0.0,30.381021995457253,1.0161943250108503,0.1778160072873822,1.1307357225522288,2.706867183413072e-07,-86.35304199044549,-45.0,41.35304199044549,0.0
dr37,0.22,dr37,0.0,drift,0.0,30.381021995457253,1.0161943250108503,0.1778160072873822,1.1307357225522288,2.7449061580827814e-07,13.613383441550468,-45.0,-58.61338344155047,0.0
rf25,1e-05,rf25,-45.0,rfcavity,1.199667501,30.805168508020362,1.0164204124175773,0.17902315009288128,1.1386652479179002,2.765541930759283e-07,67.84419403539505,-45.0,-112.84419403539505,0.0
dr38,0.3194444444444444,dr38,0.0,drift,0.0,31.22931502058347,1.016646499824304,0.1802214103295785,1.1465416793988048,2.7951051649082675e-07,145.53637337892724,-45.0,169.46362662107276,0.0
rf26,1e-05,rf26,-45.0,rfcavity,1.191552858,31.650592573600477,1.0168710579584694,0.18140294733865217,1.1543133511296564,2.8246683868354366e-07,-136.7714793964724,-45.0,91.77147939647239,0.0
dr39,0.22,dr39,0.0,drift,0.0,32.07187012661748,1.0170956160926345,0.1825760633048779,1.1620347464009535,2.8447661632984106e-07,-83.95452285177726,-45.0,38.954522851777256,0.0
qm14,0.18555555555555572,qm14,0.0,quadrupole,0.0,32.07187012661748,1.0170956160926345,0.1825760633048779,1.1620347464009535,2.881813399801581e-07,13.405614678556958,-45.0,-58.40561467855696,0.0
dr40,0.22,dr40,0.0,drift,0.0,32.07187012661748,1.0170956160926345,0.1825760633048779,1.1620347464009535,2.9188606363047517e-07,110.76575220888753,-45.0,-155.76575220888753,0.0
rf27,1e-05,rf27,-45.0,rfcavity,1.182905123,32.490090243604286,1.0173185444885777,0.1837324955899798,1.1696513554359207,2.938958401110621e-07,163.58267811871247,-45.0,151.41732188128753,0.0
dr41,0.3194444444444444,dr41,0.0,drift,0.0,32.90831036059109,1.017541472884521,0.18488094166018823,1.1772203391196006,2.9677765563545217e-07,-120.6832099003168,-45.0,75.6832099003168,0.0
rf28,1e-05,rf28,-45.0,rfcavity,1.173770252,33.32330081296321,1.0177626797373753,0.18601277150625878,1.184684696937958,2.996594700470657e-07,-44.94912716311319,-45.0,-0.050872836886810546,0.0
dr42,0.22,dr42,0.0,drift,0.0,33.738291265335334,1.0179838865902295,0.18713702495384796,1.1921039248881615,3.0162026473115135e-07,6.580557134657283,-45.0,-51.58055713465728,0.0
qm15,0.18555555555555572,qm15,0.0,quadrupole,0.0,33.738291265335334,1.0179838865902295,0.18713702495384796,1.1921039248881615,3.0523469570692525e-07,101.56780317799712,-45.0,-146.56780317799712,0.0
dr43,0.22,dr43,0.0,drift,0.0,33.738291265335334,1.0179838865902295,0.18713702495384796,1.1921039248881615,3.0884912668269915e-07,-163.44495077866668,-45.0,118.44495077866668,0.0
rf29,1e-05,rf29,-45.0,rfcavity,1.164191851,34.149895241557445,1.0182032883130452,0.18824475451220907,1.1994188552424667,3.108099203036837e-07,-111.91529441919192,-45.0,66.91529441919192,0.0
dr44,0.3194444444444444,dr44,0.0,drift,0.0,34.561499217779556,1.0184226900358606,0.1893452940483158,1.2066910055400246,3.1362378881715677e-07,-37.966829885119296,-45.0,-7.033170114880704,0.0
rf30,1e-05,rf30,-45.0,rfcavity,1.154211226,34.96957451019267,1.0186402108261494,0.19042942413361838,1.2138593370022537,3.1643765631419836e-07,35.98160793713214,-45.0,-80.98160793713214,0.0
dr45,0.22,dr45,0.0,drift,0.0,35.37764980260579,1.0188577316164384,0.19150672859748294,1.2209871018171448,3.183537105435332e-07,86.33551308405185,-45.0,-131.33551308405185,0.0
qm16,0.18555555555555572,qm16,0.0,quadrupole,0.0,35.37764980260579,1.0188577316164384,0.19150672859748294,1.2209871018171448,3.2188566926196044e-07,179.15538820432084,-45.0,135.84461179567916,0.0
dr46,0.22,dr46,0.0,drift,0.0,35.37764980260579,1.0188577316164384,0.19150672859748294,1.2209871018171448,3.254176279803877e-07,-88.02473667541199,-45.0,43.02473667541199,0.0
rf31,1e-05,rf31,-45.0,rfcavity,1.14386743,35.782068010871505,1.0190733030315784,0.1925677576062628,1.2280116610094118,3.273336812371834e-07,-37.670857086819524,-45.0,-7.329142913180476,0.0
dr47,0.3194444444444444,dr47,0.0,drift,0.0,36.18648621913722,1.0192888744467183,0.1936223047851488,1.2349977391988582,3.3008539290343875e-07,34.644125502371026,-45.0,-79.64412550237103,0.0
rf32,1e-05,rf32,-45.0,rfcavity,1.133197323,36.587131974895094,1.0195024349906636,0.19466072773225207,1.2418813446959378,3.328371036384781e-07,106.95908361920556,-45.0,-151.95908361920556,0.0
dr48,0.22,dr48,0.0,drift,0.0,36.987777730652965,1.019715995534609,0.19569299330644427,1.248728435120723,3.3471216960361923e-07,156.2358171831147,-45.0,158.7641828168853,0.0
qm17,0.18555555555555572,qm17,0.0,quadrupole,0.0,36.987777730652965,1.019715995534609,0.19569299330644427,1.248728435120723,3.3816857265760173e-07,-112.92991055822495,-45.0,67.92991055822495,0.0
dr49,0.22,dr49,0.0,drift,0.0,36.987777730652965,1.019715995534609,0.19569299330644427,1.248728435120723,3.4162497571158423e-07,-22.095638299566417,-45.0,-22.904361700433583,0.0
rf33,1e-05,rf33,-45.0,rfcavity,1.122235641,37.38454794657313,1.0199274902576039,0.19670930097320283,1.2554738919954054,3.435000407844528e-07,27.181071815419273,-45.0,-72.18107181541927,0.0
dr50,0.3194444444444444,dr50,0.0,drift,0.0,37.78131816249329,1.0201389849805989,0.19771975757932903,1.2621846875214067,3.4619472722240046e-07,97.9974314046849,-45.0,-142.9974314046849,0.0
rf34,1e-05,rf34,-45.0,rfcavity,1.111015064,38.1741213053707,1.020348365091709,0.1987144357598266,1.2687947824529828,3.488894128048116e-07,168.81376851045025,-45.0,146.18623148954975,0.0
dr51,0.22,dr51,0.0,drift,0.0,38.5669244482481,1.0205577452028187,0.19970355215837798,1.2753719645552137,3.50726822615373e-07,-142.89910166799746,-45.0,97.89910166799746,0.0
qm18,0.18555555555555572,qm18,0.0,quadrupole,0.0,38.5669244482481,1.0205577452028187,0.19970355215837798,1.2753719645552137,3.54113812242733e-07,-53.88901426097618,-45.0,8.889014260976182,0.0
dr52,0.22,dr52,0.0,drift,0.0,38.5669244482481,1.0205577452028187,0.19970355215837798,1.2753719645552137,3.575008018700929e-07,35.121073146041454,-45.0,-80.12107314604145,0.0
rf35,1e-05,rf35,-45.0,rfcavity,1.099566293,38.955679839320325,1.0207649676969692,0.20067708100090254,1.28184946149183,3.593382108598042e-07,83.40818139565454,-45.0,-128.40818139565454,0.0
dr53,0.3194444444444444,dr53,0.0,drift,0.0,39.34443523039255,1.02097219019112,0.20164532134450802,1.2882956954483136,3.619804380164192e-07,152.84591107149754,-45.0,162.15408892850246,0.0
rf36,1e-05,rf36,-45.0,rfcavity,1.087918126,39.72907237252773,1.021177217490462,0.2025981747774876,1.2946433317615398,3.646226643849647e-07,-137.71637996312893,-45.0,92.71637996312893,0.0
dr54,0.22,dr54,0.0,drift,0.0,40.113709514662915,1.0213822447898042,0.2035459979688245,1.3009612623726636,3.6642538841103595e-07,-90.34079255797405,-45.0,45.340792557974055,0.0
qm19,0.09277777777777786,qm19,0.0,quadrupole,0.0,40.113709514662915,1.0213822447898042,0.2035459979688245,1.3009612623726636,3.6898823507674423e-07,-22.989182183162484,-45.0,-22.010817816837516,0.0
