,Diameter,FWHM,dist,EY,EY2,VY,sigmaY,Pmiss,EL,sigma_b
26,9.0,4.0,16.0,5.680806637117107e-09,3.231849309617362e-17,4.6929047859845044e-20,2.1663113317306227e-10,0.005115561894995929,6.939834240981064e-17,1.2
27,9.0,4.0,20.0,4.743225622073727e-09,2.2526046094228308e-17,2.785679233161237e-20,1.669035419984021e-10,0.0034928478433869296,5.2911580658269725e-18,1.2
28,11.0,4.0,4.0,9.593546258505364e-09,9.220024706172725e-17,1.6411724764498385e-19,4.0511386997359627e-10,0.007985095030674615,1.5096498613950972e-15,1.2
29,11.0,4.0,6.0,8.485532496942506e-09,7.211839774433654e-17,1.1413598766922215e-19,3.3784018066124427e-10,0.006206421710351678,3.242742247258267e-16,1.2
30,11.0,4.0,8.0,7.555175191463144e-09,5.716166969115426e-17,8.099751745411323e-20,2.846006279931814e-10,0.004835377612982302,6.56024084163844e-17,1.2
31,11.0,4.0,10.0,6.77482306402276e-09,4.595703866886122e-17,5.881112004648679e-20,2.425100411250775e-10,0.003797689504602974,1.2983941608946655e-17,1.2
32,11.0,4.0,12.0,6.11442361753339e-09,3.74295994561836e-17,4.342328153349972e-20,2.0838253653677345e-10,0.002977173190082211,2.3657917523823722e-18,1.2
33,11.0,4.0,16.0,5.0549577808356325e-09,2.557746763202593e-17,2.4869465995228565e-20,1.577005580054445e-10,0.0018663895247053534,7.27925915604083e-20,1.2
34,11.0,4.0,20.0,4.26840032127605e-09,1.8234587578690708e-17,1.5346276021222126e-20,1.2388008726676828e-10,0.0012372180321407575,2.6536641077648804e-21,1.2
35,3.0,5.0,4.0,9.985819803300414e-09,1.0011507399263103e-16,3.9847684864431216e-19,6.312502266489194e-10,0.03271290088549565,1.051896308704256e-12,1.2
36,3.0,5.0,6.0,8.698299620377339e-09,7.592061203469318e-17,2.601957488366225e-19,5.100938627709831e-10,0.026108211840275918,3.7712403723309695e-13,1.2
37,3.0,5.0,8.0,7.645177955932623e-09,5.862363327304069e-17,1.7488729516255895e-19,4.1819528352500457e-10,0.02089237423656964,1.3051833894183612e-13,1.2
38,3.0,5.0,10.0,6.794820481886272e-09,4.629211798436309e-17,1.2253260330189892e-19,3.500465730469289e-10,0.017046893674949208,4.717605736882539e-14,1.2
39,3.0,5.0,12.0,6.095739452369278e-09,3.7246926218818837e-17,8.888674764753616e-20,2.981388060074303e-10,0.014164905502706215,1.789240242134479e-14,1.2
40,3.0,5.0,16.0,4.994690603281928e-09,2.4996479574793145e-17,4.954535228035796e-20,2.2258785294880302e-10,0.009940938066688498,2.5218948185432093e-15,1.2
41,3.0,5.0,20.0,4.185699068335767e-09,1.754961875452267e-17,2.954206385575963e-20,1.718780493715228e-10,0.007096096350940117,3.4284518438899816e-16,1.2
42,5.0,5.0,4.0,1.2236875922531805e-08,1.5038006974467684e-16,6.389374012382292e-19,7.99335599881695e-10,0.03593470140767243,1.8362203238887166e-12,1.2
43,5.0,5.0,6.0,1.05555106014324e-08,1.1182186243238397e-16,4.0305837543216086e-19,6.348687859960992e-10,0.028217350419786843,6.252114024765574e-13,1.2
44,5.0,5.0,8.0,9.211418109204323e-09,8.511548413560565e-17,2.6526055302830517e-19,5.150345163465311e-10,0.022444808259955526,2.1350770794858005e-13,1.2
45,5.0,5.0,10.0,8.130597897117043e-09,6.62884549803706e-17,1.818328157665131e-19,4.2641859219142063e-10,0.01813358684448742,7.456894840507282e-14,1.2
46,5.0,5.0,12.0,7.245589365373132e-09,5.262685627278282e-17,1.2829102117459449e-19,3.5817735994140457e-10,0.014724442728349876,2.5549471506991942e-14,1.2
47,5.0,5.0,16.0,5.8761276951722895e-09,3.4597614786622094e-17,6.873809665129069e-20,2.6217951226457547e-10,0.009987775014694356,3.040116474906095e-15,1.2
48,5.0,5.0,20.0,4.8766567107924415e-09,2.3821664218502517e-17,3.988354358556076e-20,1.9970864674710698e-10,0.007014216618058179,3.7424688912804323e-16,1.2
49,7.0,5.0,4.0,1.1818118440289757e-08,1.4015598663181558e-16,4.880631630987649e-19,6.986151752565678e-10,0.02676237408985106,5.663314348706862e-13,1.2
50,7.0,5.0,6.0,1.0237816694979839e-08,1.0512565529322939e-16,3.1276461322146786e-19,5.592536215541817e-10,0.02079878739202614,1.7143087123061225e-13,1.2
51,7.0,5.0,8.0,8.965656121922282e-09,8.059091290169733e-17,2.0792320513484418e-19,4.5598597032676807e-10,0.016296706751631047,5.0684175661246925e-14,1.2
52,7.0,5.0,10.0,7.93380294840293e-09,6.308798795109067e-17,1.4275872700364173e-19,3.778342586421217e-10,0.01283721560802327,1.4496117597435047e-14,1.2
53,7.0,5.0,12.0,7.077135716805205e-09,5.0187485296176944e-17,1.0163534209701895e-19,3.188029831996855e-10,0.010372389552975973,4.449211789717739e-15,1.2
54,7.0,5.0,16.0,5.7605786597052125e-09,3.32393081644558e-17,5.504166980470018e-20,2.346096114925818e-10,0.006850004780405318,3.868288473263122e-16,1.2
55,7.0,5.0,20.0,4.79587612762696e-09,2.3032567884367405e-17,3.2140052825235943e-20,1.7927647036138328e-10,0.004666043132593528,3.3480381682542674e-17,1.2
56,9.0,5.0,4.0,1.05176162167709e-08,1.1089713491731203e-16,2.768840340298083e-19,5.26197713820393e-10,0.015373087147443726,4.539081713724719e-14,1.2
57,9.0,5.0,6.0,9.204089328552494e-09,8.489914633037645e-17,1.8388596240253964e-19,4.288192654283849e-10,0.011816995833634082,1.1184675878669487e-14,1.2
58,9.0,5.0,8.0,8.130664015965548e-09,6.623333534625337e-17,1.2563800573637027e-19,3.544545185723695e-10,0.00910151411223816,2.5856427539912597e-15,1.2
59,9.0,5.0,10.0,7.2477722464669205e-09,5.261899440397404e-17,8.879186731788817e-20,2.979796424554674e-10,0.0071331632050289405,6.112403940882724e-16,1.2
60,9.0,5.0,12.0,6.502136592387249e-09,4.234199588465302e-17,6.421561859175035e-20,2.534080081444751e-10,0.0056454177133823035,1.4293364591231113e-16,1.2
61,9.0,5.0,16.0,5.3403385221417636e-09,2.855499938394886e-17,3.578385287758557e-20,1.8916620437484484e-10,0.0036085210831535305,7.36268098621736e-18,1.2
62,9.0,5.0,20.0,4.475858481289054e-09,2.0054606686672053e-17,2.1297542144895885e-20,1.4593677447749722e-10,0.0023678591792424776,3.57727054043383e-19,1.2
63,11.0,5.0,4.0,9.019109434086629e-09,8.147690663911481e-17,1.3257165508438366e-19,3.6410390698862826e-10,0.006594509330036597,4.881266000079248e-16,1.2
64,11.0,5.0,6.0,7.997221302736025e-09,6.404789975340522e-17,9.235118847032918e-20,3.0389338339346776e-10,0.005033745140715166,8.863845410285685e-17,1.2
65,11.0,5.0,8.0,7.138401734515877e-09,5.1022422714128937e-17,6.564339078965583e-20,2.5620966178045635e-10,0.0038472220885559594,1.4864496129336625e-17,1.2
66,11.0,5.0,10.0,6.416523880178939e-09,4.12195681837145e-17,4.778947880791928e-20,2.186080483603458e-10,0.002972329224559171,2.455599103197195e-18,1.2
67,11.0,5.0,12.0,5.800155442710875e-09,3.3677234878651516e-17,3.543171904292575e-20,1.8823315075439224e-10,0.0023099436348646063,3.89237072240161e-19,1.2
68,11.0,5.0,16.0,4.818078603064922e-09,2.3234377163368188e-17,2.0495738056159946e-20,1.431633265056381e-10,0.0014188304295043254,8.755827062857544e-21,1.2
69,11.0,5.0,20.0,4.0760194923479135e-09,1.662656979167034e-17,1.263488967019661e-20,1.1240502511096472e-10,0.0009093993046759253,2.0688929232748933e-22,1.2
70,3.0,6.0,4.0,8.754527151372872e-09,7.686571809018617e-17,2.2397244606135833e-19,4.732572725921476e-10,0.020089446021202814,1.2613552651227702e-13,1.2
71,3.0,6.0,6.0,7.69556079984203e-09,5.937185820421467e-17,1.5020218014935766e-19,3.875592601775342e-10,0.01573913385463474,3.704974423314222e-14,1.2
72,3.0,6.0,8.0,6.822748915428706e-09,4.665440565976738e-17,1.045028967837919e-19,3.232690779888975e-10,0.012594229122391753,1.1354621615309739e-14,1.2
73,3.0,6.0,10.0,6.100178126012635e-09,3.7286482378702556e-17,7.430920961953393e-20,2.725971562939238e-10,0.010049121232287442,3.2576718654761186e-15,1.2
74,3.0,6.0,12.0,5.487807677918119e-09,3.017008154397968e-17,5.4048434162625723e-20,2.3248319113997408e-10,0.008092518238076348,9.287998010724699e-16,1.2
75,3.0,6.0,16.0,4.538820402633909e-09,2.0631617620900354e-17,3.072697353451326e-20,1.7529111082571547e-10,0.00541909626789016,7.82999719098567e-17,1.2
76,3.0,6.0,20.0,3.82885862036968e-09,1.4679029000807775e-17,1.8870666028564626e-20,1.3737054279780883e-10,0.003839937685716991,7.876866513938012e-18,1.2
77,5.0,6.0,4.0,1.0735599852817918e-08,1.1562096154009679e-16,3.6785734027268665e-19,6.065124403280502e-10,0.023207816659356277,2.8641573399053996e-13,1.2
78,5.0,6.0,6.0,9.349270023803384e-09,8.76474066677158e-17,2.3855668972727085e-19,4.884226548055187e-10,0.017892063903605322,8.075060326596589e-14,1.2
79,5.0,6.0,8.0,8.211710384798748e-09,6.759193106396471e-17,1.5974362015310888e-19,3.996793967082978e-10,0.013914952634226466,2.2141464620960636e-14,1.2
80,5.0,6.0,10.0,7.301731685838916e-09,5.3427298260695896e-17,1.1201264871187158e-19,3.3468290770798495e-10,0.011099218592399334,6.48094845926773e-15,1.2
81,5.0,6.0,12.0,6.532790303075261e-09,4.275690568990862e-17,7.955654595445532e-20,2.8205769969007284e-10,0.008750941046696471,1.6857852106066758e-15,1.2
82,5.0,6.0,16.0,5.3533182104895705e-09,2.8702364897533115e-17,4.4349034773859016e-20,2.105921052030655e-10,0.005885670805635879,1.5030060606894344e-16,1.2
83,5.0,6.0,20.0,4.4762428041249945e-09,2.0063049009549073e-17,2.629936806827742e-20,1.621707990615987e-10,0.004024495245859797,1.241673704158804e-17,1.2
84,7.0,6.0,4.0,1.0521808576774618e-08,1.1101137066952524e-16,3.029149432373215e-19,5.503770918536867e-10,0.017970410032153102,9.267500027804907e-14,1.2
85,7.0,6.0,6.0,9.187159687831172e-09,8.460201954650566e-17,1.9811641679550709e-19,4.4510270364884e-10,0.013681651591399035,2.2844757088988817e-14,1.2
86,7.0,6.0,8.0,8.100604274049098e-09,6.575397518078739e-17,1.3418557604486986e-19,3.6631349421618346e-10,0.010530122637863149,5.5021532069713885e-15,1.2
87,7.0,6.0,10.0,7.211520781695474e-09,5.2100304769118427e-17,9.427278429273127e-20,3.070387341895665e-10,0.00826218020219519,1.3660368785695958e-15,1.2
