NAME,S,X,Y,PX,PY,ALFX,ALFY,BETX,BETY,EMITX,EMITY,DX,DY,SIGX,SIGY
DR24,7.0935,0,0,0,0,-5.911194007,4.155303262,5.608402175,5.222200004,0,0,0,0,0.04606340132457616,0.0444491212007343
QM9,7.32,0,0,0,0,0.02738090767,-0.2898967836,7.526495851,4.104646688,0,0,0,0,0.05336209134062423,0.039407085753679225
DR25,7.5465,0,0,0,0,5.944375681,-4.993554876,5.588144004,5.529549221,0,0,0,0,0.04598013300441237,0.04573843417566217
PS33,7.6235,0,0,0,0,5.451031362,-5.349425195,4.723544064,6.314298718,0,0,0,0,0.042273714901449586,0.04887637525236687
RF17,7.6235,0,0,0,0,5.227216683,-5.648614261,4.75987218,6.362861106,0,0,0,0,0.04243596415094334,0.04906396594162862
PS34,7.6235,0,0,0,0,5.227216683,-5.648614261,4.75987218,6.362861106,0,0,0,0,0.04243596415094334,0.04906396594162862
DR26,7.7775,0,0,0,0,4.317576042,-6.439197299,3.300788444,8.210688478,0,0,0,0,0.03533826911161571,0.05573477035620883
PS35,7.9315,0,0,0,0,3.407935402,-7.229780336,2.119812761,10.30022395,0,0,0,0,0.028319473812809044,0.0624251741060341
RF18,7.9315,0,0,0,0,3.309439382,-7.708374993,2.135928734,10.37853187,0,0,0,0,0.028426920027616175,0.06266201991012546
PS36,7.9315,0,0,0,0,3.309439382,-7.708374993,2.135928734,10.37853187,0,0,0,0,0.028426920027616175,0.06266201991012546
DR27,8.0085,0,0,0,0,2.878133938,-8.157073796,1.659017738,11.60137104,0,0,0,0,0.025053127196268964,0.06625079391798777
QM10,8.235,0,0,0,0,0.9646645571,3.89982136,0.7606899123,13.63251709,0,0,0,0,0.016964468478577466,0.07181653608055473
DR28,8.4615,0,0,0,0,-0.07561448158,12.84271652,0.6175706577,8.678060714,0,0,0,0,0.015285503728581368,0.05729909606856869
PS37,8.5385,0,0,0,0,-0.2011325807,11.36893449,0.6389011067,6.811932911,0,0,0,0,0.015547238069756738,0.05076584385556546
