 Nseed      iq         dt[nsec]         dW[Mev/u]           x[cm]            x'[mrad]          y[cm]            y'[mrad]
      0      1       0.16294E+00      -0.14134E-01       0.65996E+01       0.13220E+02      -0.24259E+01      -0.46708E+01
      0      1      -0.15737E-01       0.60072E-02       0.54213E+01       0.11757E+02       0.90987E+01       0.18929E+02
      0      1       0.65045E-01      -0.69283E-03       0.66525E+01       0.13633E+02       0.38292E+01       0.89833E+01
      0      1      -0.22711E+00       0.11423E+00      -0.71530E+01      -0.14122E+02      -0.56080E+01      -0.12443E+02
      0      1       0.41231E-02       0.25876E-01      -0.50464E+01      -0.82876E+01       0.48100E+01       0.99145E+01
      0      1       0.12917E+00      -0.24159E-01       0.87183E+00       0.66757E+00      -0.86810E+01      -0.15538E+02
      0      1       0.15995E-01       0.13430E-01      -0.51696E+01      -0.84296E+01      -0.28950E+01      -0.58000E+01
      0      1       0.44875E-01       0.85653E-02       0.25048E+01       0.43724E+01       0.71477E+01       0.14533E+02
      0      1       0.11867E+00      -0.14266E-01      -0.92351E+01      -0.18210E+02      -0.28281E+00      -0.49539E+00
      0      1       0.27175E+00      -0.53550E-01       0.15299E+01       0.24107E+01       0.33533E+01       0.62037E+01
      0      1       0.15601E+00      -0.21343E-01       0.31901E+01       0.48681E+01       0.28917E+01       0.60961E+01
      0      1       0.58069E-01       0.13324E-01      -0.60037E+01      -0.12199E+02       0.74825E+00       0.45584E-01
      0      1       0.27910E-01      -0.25482E-01       0.88672E+00       0.17508E+01      -0.64254E+01      -0.12605E+02
      0      1      -0.34414E-01      -0.46091E-02      -0.78643E+01      -0.16121E+02       0.88702E+01       0.17540E+02
      0      1       0.23058E-01      -0.43456E-02       0.49421E+01       0.91310E+01       0.93189E+01       0.20046E+02
      0      1       0.10952E+00       0.69334E-02       0.79640E+00       0.16399E+01      -0.28253E+01      -0.39386E+01
      0      1       0.22926E+00      -0.21211E-01       0.21633E+01       0.44666E+01       0.32223E+01       0.56496E+01
      0      1       0.78172E-01      -0.59227E-01       0.95450E+00       0.18383E+01       0.80927E+00       0.14636E+01
      0      1       0.57319E-01      -0.26849E-01       0.45765E+01       0.77954E+01       0.58949E+01       0.10288E+02
      0      1       0.30088E-01      -0.74168E-02      -0.70897E+01      -0.12803E+02      -0.60888E+01      -0.10909E+02
      0      1       0.18454E-01      -0.14384E-01      -0.69994E+01      -0.13359E+02      -0.15426E+01      -0.46689E+01
      0      1       0.17210E+00      -0.26809E-01       0.14175E+00       0.82162E-01      -0.44009E+00      -0.16124E+01
      0      1      -0.47156E-01       0.37069E-01       0.84446E+01       0.16136E+02       0.80857E+01       0.15299E+02
