n_el  name       dist[m]     Energy[MeV/u] (W-Wtmp)/Wtmp,%   x_rms[cm]      y_rms[cm]      Xmax[cm]       Ymax[cm]     phi_rms[deg]   phi_max[deg]   DW/W[rel.u.]   4*exn_rms[cm*mrad]   exn99.5[cm*mrad]    exn_max[cm*mrad]   4*eyn_rms[cm*mrad]   eyn99.5[cm*mrad]    eyn_max[cm*mrad]   4*ezn_rms[keV/u*ns]  ezn99.5[keV/u*ns]    ezn_max[keV/u*ns]     Xc[cm]       X'c[mrad]        Yc[cm]       Y'c[mrad]        btgm          Zc[deg]          a_x        b_x[cm/mrad]       a_y        b_y[cm/mrad]       a_z        b_z[deg/(%ofD_W/W)]  #of_lost_part  total#of_par
  36  drift      3.06000       22.11494       -0.02885        4.34522        3.38987       11.88772        9.44537        1.22993        6.25591        0.00756           7.84266            13.99459            17.13974             7.52905            12.66583            15.08735            12.18185            39.34328            65.84649         -0.00189       -0.01280       -0.00021       -0.00112        0.21923        0.61813       -5.83746        2.11112       -4.08247        1.33838       -0.80745           2.09057              0.0         10001.0
  37  drift      3.14000       22.11494       -0.02885        4.44137        3.47265       12.16163        9.66898        1.09531        5.72942        0.00756           7.84266            13.99459            17.13974             7.52905            12.66583            15.08735            12.18670            39.28098            65.85245         -0.00199       -0.01280       -0.00022       -0.00112        0.21923        0.63721       -5.97038        2.20559       -4.18807        1.40454       -0.55595           1.65730              0.0         10001.0
  38  drift      3.22000       22.11494       -0.02885        4.53758        3.55554       12.43553        9.89259        1.00119        5.20294        0.00756           7.84266            13.99459            17.13974             7.52905            12.66583            15.08735            12.19215            39.28354            65.85673         -0.00210       -0.01280       -0.00023       -0.00112        0.21923        0.65629       -6.10330        2.30217       -4.29367        1.47240       -0.30464           1.38411              0.0         10001.0
  39  drift      3.30000       22.11494       -0.02885        4.63384        3.63854       12.70944       10.11621        0.95959        4.67646        0.00756           7.84266            13.99459            17.13974             7.52905            12.66583            15.08735            12.19819            39.28510            65.85934         -0.00220       -0.01280       -0.00023       -0.00112        0.21923        0.67536       -6.23622        2.40089       -4.39927        1.54194       -0.05355           1.27083              0.0         10001.0
  40  drift      3.60000       22.11494       -0.02885        4.99526        3.95061       13.73659       10.95476        1.28279        6.02939        0.00756           7.84266            13.99459            17.13974             7.52905            12.66583            15.08735            12.22612            39.28218            65.85445         -0.00258       -0.01280       -0.00027       -0.00112        0.21923        0.74691       -6.73467        2.79002       -4.79527        1.81778        0.88545           2.26589              0.0         10001.0
  41  rfgap      3.60000       22.47278       -0.00932        4.99526        3.95061       13.73659       10.95476        1.27253        5.97777        0.00728           7.83076            14.02550            17.15658             7.52412            12.64549            14.97394            12.23028            39.26669            65.82848         -0.00258       -0.01412       -0.00027       -0.00082        0.22099        0.74088       -8.25202        2.81676       -5.78013        1.83362        0.82507           2.26464              0.0         10001.0
  42  drift      3.68000       22.47278       -0.00932        5.11236        4.05027       14.06699       11.22372        1.43025        6.62497        0.00728           7.83076            14.02550            17.15658             7.52412            12.64549            14.97394            12.23663            39.23339            65.77265         -0.00270       -0.01412       -0.00027       -0.00082        0.22099        0.75732       -8.44827        2.95036       -5.93025        1.92730        1.05876           2.85931              0.0         10001.0
  43  drift      3.76000       22.47278       -0.00932        5.22949        4.15001       14.39738       11.49268        1.60555        7.27216        0.00728           7.83076            14.02550            17.15658             7.52412            12.64549            14.97394            12.24415            39.19841            65.71402         -0.00281       -0.01412       -0.00028       -0.00082        0.22099        0.77376       -8.64451        3.08711       -6.08038        2.02339        1.29209           3.60099              0.0         10001.0
  44  drift      3.84000       22.47278       -0.00932        5.34665        4.24981       14.72777       11.76164        1.79329        7.91936        0.00728           7.83076            14.02550            17.15658             7.52412            12.64549            14.97394            12.25283            39.22744            65.65262         -0.00292       -0.01412       -0.00029       -0.00082        0.22099        0.79020       -8.84075        3.22699       -6.23051        2.12188        1.52499           4.48919              0.0         10001.0
  45  drift      3.92000       22.47278       -0.00932        5.46385        4.34967       15.05816       12.03059        1.98996        8.56656        0.00728           7.83076            14.02550            17.15658             7.52412            12.64549            14.97394            12.26268            39.18912            65.58849         -0.00303       -0.01412       -0.00029       -0.00082        0.22099        0.80664       -9.03699        3.37001       -6.38064        2.22277        1.75739           5.52336              0.0         10001.0
  46  drift      4.00000       22.47278       -0.00932        5.58108        4.44958       15.38855       12.29955        2.19314        9.21375        0.00728           7.83076            14.02550            17.15658             7.52412            12.64549            14.97394            12.27370            39.14920            65.52167         -0.00315       -0.01412       -0.00030       -0.00082        0.22099        0.82308       -9.23323        3.51617       -6.53077        2.32606        1.98923           6.70285              0.0         10001.0
  47  rfgap      4.00000       22.83073        0.01011        5.58108        4.44958       15.38855       12.29955        2.17561        9.13295        0.00674           7.75552            13.62002            16.39978             7.50195            12.50083            14.75024            12.25006            39.18148            65.68563         -0.00315       -0.01493       -0.00030       -0.00029        0.22274        0.81611      -11.18346        3.57844       -7.77463        2.35143        1.82179           6.71279              0.0         10001.0
  48  drift      4.08000       22.83073        0.01011        5.72063        4.56730       15.77919       12.61773        2.36321        9.70465        0.00674           7.75552            13.62002            16.39978             7.50195            12.50083            14.75024            12.26042            39.09476            65.54024         -0.00327       -0.01493       -0.00030       -0.00029        0.22274        0.83103      -11.46531        3.75963       -7.98367        2.47750        2.02170           7.91374              0.0         10001.0
  49  drift      4.16000       22.83073        0.01011        5.86021        4.68507       16.16983       12.93591        2.55456       10.27635        0.00674           7.75552            13.62002            16.39978             7.50195            12.50083            14.75024            12.27278            39.07122            65.39116         -0.00339       -0.01493       -0.00031       -0.00029        0.22274        0.84594      -11.74715        3.94533       -8.19272        2.60691        2.22091           9.23781              0.0         10001.0
  50  drift      4.24000       22.83073        0.01011        5.99981        4.80288       16.56047       13.25409        2.74886       10.84805        0.00674           7.75552            13.62002            16.39978             7.50195            12.50083            14.75024            12.28715            38.91476            65.23849         -0.00351       -0.01493       -0.00031       -0.00029        0.22274        0.86085      -12.02899        4.13553       -8.40177        2.73966        2.41933          10.68400              0.0         10001.0
  51  drift      4.32000       22.83073        0.01011        6.13943        4.92073       16.95111       13.57227        2.94553       11.41976        0.00674           7.75552            13.62002            16.39978             7.50195            12.50083            14.75024            12.30352            38.75654            65.08236         -0.00363       -0.01493       -0.00031       -0.00029        0.22274        0.87577      -12.31084        4.33025       -8.61081        2.87576        2.61686          12.25117              0.0         10001.0
  52  drift      4.40000       22.83073        0.01011        6.27908        5.03862       17.34175       13.89046        3.14412       11.99146        0.00674           7.75552            13.62002            16.39978             7.50195            12.50083            14.75024            12.32187            38.79143            64.92290         -0.00374       -0.01493       -0.00031       -0.00029        0.22274        0.89068      -12.59268        4.52948       -8.81986        3.01521        2.81341          13.93809              0.0         10001.0
