,Diameter,FWHM,dist,EY,EY2,VY,sigmaY,Pmiss,EL,sigma_b
28,7.0,5.0,16.0,5.913756940675146e-09,3.497331461521002e-17,7.934618265525285e-22,2.8168454458001925e-11,2.486672295846833e-08,0.0,0.4
29,7.0,5.0,20.0,4.912565196396981e-09,2.413375421981588e-17,4.57410964971326e-22,2.138716823170674e-11,5.468552933532195e-09,0.0,0.4
30,3.0,6.0,4.0,9.067339126599285e-09,8.222003758506849e-17,3.3987483102150196e-21,5.829878480907659e-11,1.650078417037739e-06,0.0,0.4
31,3.0,6.0,8.0,7.035113938150189e-09,4.949437363901931e-17,1.5455162642500467e-21,3.931305462883858e-11,2.698859595900192e-07,0.0,0.4
32,3.0,6.0,12.0,5.6398274055268726e-09,3.18084372214925e-17,7.840573605286465e-22,2.800102427641972e-11,4.787124091503822e-08,0.0,0.4
33,3.0,6.0,16.0,4.653046414565595e-09,2.1651280319355847e-17,4.393832541053464e-22,2.0961470704732204e-11,9.876340205038302e-09,0.0,0.4
34,3.0,6.0,20.0,3.91814709441969e-09,1.5352143673676572e-17,2.6702016710948044e-22,1.634075173024425e-11,2.5281358674609248e-09,0.0,0.4
35,5.0,6.0,4.0,1.1137387664042793e-08,1.2404703893815447e-16,5.63495898189153e-21,7.506636385153826e-11,2.8767062365448354e-06,0.0,0.4
36,5.0,6.0,8.0,8.474583960617916e-09,7.182094756137606e-17,2.3742558136228548e-21,4.8726335934716606e-11,3.9785673575969946e-07,0.0,0.4
37,5.0,6.0,12.0,6.717364976909267e-09,4.512414993270565e-17,1.1576996984198299e-21,3.402498638383019e-11,6.505925093152334e-08,0.0,0.4
38,5.0,6.0,16.0,5.490638865059798e-09,3.014775106960859e-17,6.359231034389927e-22,2.5217515806260392e-11,1.368026216492776e-08,0.0,0.4
39,5.0,6.0,20.0,4.581685366010889e-09,2.0992213431182428e-17,3.7263806409442834e-22,1.930383547625778e-11,3.0450658745418565e-09,0.0,0.4
40,7.0,6.0,4.0,1.0885010546792037e-08,1.1848802035164953e-16,4.565747875653167e-21,6.757031800763681e-11,1.072726196683003e-06,0.0,0.4
41,7.0,6.0,8.0,8.340767602130981e-09,6.957037226177676e-17,1.968069018957356e-21,4.4362923922543205e-11,1.3424085409383843e-07,0.0,0.4
42,7.0,6.0,12.0,6.629752305913034e-09,4.3954584342007315e-17,9.687042481240795e-22,3.1124014010472354e-11,1.9649372401821888e-08,0.0,0.4
43,7.0,6.0,16.0,5.428349574296021e-09,2.946751071728189e-17,5.316165220974884e-22,2.3056810752952985e-11,3.5248740775014956e-09,0.0,0.4
44,7.0,6.0,20.0,4.543335794755716e-09,2.0642213875507465e-17,3.1373159890932563e-22,1.7712470152672823e-11,7.039990261511108e-10,0.0,0.4
0,3.0,4.0,4.0,1.1840181156289975e-08,1.4024547313043248e-16,5.558331666825366e-20,2.3576114325361943e-10,0.0069938018009982755,3.0368877023901153e-16,0.6
1,3.0,4.0,8.0,8.875820631275362e-09,7.88026799405569e-17,2.2488061983529364e-20,1.4996020133198462e-10,0.00334269130950664,1.8122189701654395e-18,0.6
2,3.0,4.0,12.0,6.949700723924419e-09,4.830907758000187e-17,1.0737427886276168e-20,1.0362156091410787e-10,0.0017601362128745392,1.1056840942939767e-20,0.6
3,3.0,4.0,16.0,5.635634901502243e-09,3.1766084044473745e-17,5.70330144354734e-21,7.552020553168099e-11,0.0009564902409252448,4.9510493444851474e-23,0.6
4,3.0,4.0,20.0,4.680556578462507e-09,2.1910928383858183e-17,3.318499669530485e-21,5.7606420384628e-11,0.0005621901953334665,2.7611387412987204e-25,0.6
5,5.0,4.0,4.0,1.4477011492147736e-08,2.0967066558834705e-16,8.680384456941058e-20,2.9462492184031304e-10,0.00765230438098009,6.343078034088022e-16,0.6
6,5.0,4.0,8.0,1.0648977960127244e-08,1.1343363711224697e-16,3.2905516971185706e-20,1.813987788580334e-10,0.003477445265127506,2.8738193316819267e-18,0.6
7,5.0,4.0,12.0,8.245953031325492e-09,6.801088612579933e-17,1.5144730973271363e-20,1.2306393043159058e-10,0.001769094152067844,1.366645114052856e-20,0.6
8,5.0,4.0,16.0,6.598463662783677e-09,4.3547419226032896e-17,7.696516956312225e-21,8.77297951457327e-11,0.0009122281828449697,3.778210151662659e-23,0.6
9,5.0,4.0,20.0,5.428106908032835e-09,2.946865146663302e-17,4.306861599232655e-21,6.562668359160515e-11,0.0005002081239426703,1.0041978338700585e-25,0.6
10,7.0,4.0,4.0,1.3640735332065156e-08,1.8612839812593425e-16,5.87377264835441e-20,2.4235867321708154e-10,0.004241089801656448,1.4433485971064742e-17,0.6
11,7.0,4.0,8.0,1.015244134083184e-08,1.0309532823892792e-16,2.3263059896532263e-20,1.525223258953661e-10,0.0018335864888027532,2.2423189343153754e-20,0.6
12,7.0,4.0,12.0,7.917755377727497e-09,6.270171223926341e-17,1.086201773071556e-20,1.0422100426840819e-10,0.0008583688160162724,2.6026763797868448e-23,0.6
13,7.0,4.0,16.0,6.369750789559486e-09,4.057936368178284e-17,5.6385606891431595e-21,7.509035017326234e-11,0.00042246153378340355,2.120044121589583e-26,0.6
14,7.0,4.0,20.0,5.265299238726501e-09,2.772659267413747e-17,3.2166008036006005e-21,5.67150844449746e-11,0.00022337021174996977,0.0,0.6
15,3.0,5.0,4.0,1.0337315771530807e-08,1.0689057743802991e-16,3.0480077690347344e-20,1.745854452419999e-10,0.0033364643559598687,2.082904466677797e-18,0.6
