n_el  name       dist[m]     Energy[MeV/u] (W-Wtmp)/Wtmp,%   x_rms[cm]      y_rms[cm]      Xmax[cm]       Ymax[cm]     phi_rms[deg]   phi_max[deg]   DW/W[rel.u.]   4*exn_rms[cm*mrad]   exn99.5[cm*mrad]    exn_max[cm*mrad]   4*eyn_rms[cm*mrad]   eyn99.5[cm*mrad]    eyn_max[cm*mrad]   4*ezn_rms[keV/u*ns]  ezn99.5[keV/u*ns]    ezn_max[keV/u*ns]     Xc[cm]       X'c[mrad]        Yc[cm]       Y'c[mrad]        btgm          Zc[deg]          a_x        b_x[cm/mrad]       a_y        b_y[cm/mrad]       a_z        b_z[deg/(%ofD_W/W)]  #of_lost_part  total#of_par
  39  rfgap      5.79350       25.12843        0.17207        0.85416        1.17059        2.33121        3.15628        6.29316       20.80223        0.00213           7.49814            12.42159            15.17605             7.45112            12.54227            14.54176            19.79417            56.14913           107.05268          0.00006       -0.00140       -0.00013       -0.00294        0.23364        0.67365        0.77687        0.09093       -5.36044        0.17186        0.81978          38.19650              0.0         10001.0
  40  drift      6.10150       25.12843        0.17207        0.69271        2.30468        1.83443        6.24298        6.44793       21.42638        0.00213           7.49814            12.42159            15.17605             7.45112            12.54227            14.54176            20.20593            57.91774           110.63561          0.00002       -0.00140       -0.00022       -0.00294        0.23364        0.65815        0.23373        0.05981      -10.68917        0.66619        0.82733          39.28119              0.0         10001.0
  41  rfgap      6.10150       25.53090        0.16782        0.69271        2.30468        1.83443        6.24298        6.39649       21.21425        0.00170           7.49797            12.43286            15.17127             7.47573            12.60544            14.75183            20.81076            64.03025           110.30189          0.00002       -0.00141       -0.00022       -0.00293        0.23553        0.64780        0.20341        0.06029      -10.98725        0.66938       -0.17032          38.13631              0.0         10001.0
  42  drift      6.25550       25.53090        0.16782        0.68013        2.88774        1.78099        7.82080        6.38064       21.33181        0.00170           7.49797            12.43286            15.17127             7.47573            12.60544            14.75183            20.76577            64.27391           109.77611          0.00000       -0.00141       -0.00026       -0.00293        0.23553        0.64599       -0.06258        0.05812      -13.78757        1.05091       -0.16839          38.02973              0.0         10001.0
  43  quad       6.55450       25.53090        0.16782        0.98328        3.14099        2.57862        8.50698        6.35232       21.55744        0.00170           7.49703            12.43182            15.17001             7.49621            12.65059            14.80467            20.76565            64.27054           109.77035         -0.00005       -0.00197       -0.00026        0.00320        0.23553        0.46208       -2.44128        0.12150        8.58686        1.23993       -0.13878          37.69309              0.0         10001.0
  44  drift      6.70850       25.53090        0.16782        1.29356        2.80628        3.40911        7.60254        6.33869       21.67480        0.00170           7.49703            12.43182            15.17001             7.49621            12.65059            14.80467            20.74962            64.31964           109.66691         -0.00008       -0.00197       -0.00021        0.00320        0.23553        0.42243       -3.32344        0.21028        7.65866        0.98975       -0.12830          37.56054              0.0         10001.0
  45  rfgap      6.70850       25.93342        0.15824        1.29356        2.80628        3.40911        7.60254        6.28904       21.46328        0.00252           7.49723            12.43862            15.14136             7.53960            12.85264            15.12966            21.70115            73.80450           132.62264         -0.00008       -0.00141       -0.00021        0.00324        0.23742        0.41424       -3.42840        0.21195        7.12560        0.99193       -1.03344          35.91396              0.0         10001.0
  46  drift      7.01650       25.93342        0.15824        1.94710        2.18712        5.26083        5.92290        6.08659       21.32337        0.00252           7.49723            12.43862            15.14136             7.53960            12.85264            15.12966            21.51118            73.25237           132.58348         -0.00013       -0.00141       -0.00011        0.00324        0.23742        0.34130       -5.28173        0.48023        5.51799        0.60251       -0.98558          33.93602              0.0         10001.0
  47  rfgap      7.01650       26.33720        0.14835        1.94710        2.18712        5.26083        5.92290        6.03956       21.11914        0.00377           7.50100            12.42973            15.07547             7.57208            12.96465            15.44330            22.64967            80.70633           176.02254         -0.00013       -0.00055       -0.00011        0.00334        0.23929        0.33428       -5.51435        0.48378        5.20071        0.60467       -1.74551          32.23139              0.0         10001.0
  48  drift      7.17050       26.33720        0.14835        2.28973        1.89825        6.22066        5.13396        5.85728       20.86952        0.00377           7.50100            12.42973            15.07547             7.57208            12.96465            15.44330            22.49698            80.67416           175.95237         -0.00014       -0.00055       -0.00006        0.00334        0.23929        0.30317       -6.51415        0.66902        4.48639        0.45549       -1.69058          30.52096              0.0         10001.0
