 Nseed      iq         dt[nsec]         dW[Mev/u]           x[cm]            x'[mrad]          y[cm]            y'[mrad]
      0      1       0.29077E-01      -0.46996E+00      -0.21614E+00       0.94217E+01      -0.21412E+00      -0.31919E+01
      0      1       0.31309E-01      -0.41720E+00      -0.12824E+01       0.73691E+01      -0.12251E+00       0.24766E+02
      0      1      -0.27993E-02       0.40525E+00       0.12977E+01       0.35905E+01       0.87831E-01       0.18463E+02
      0      1       0.22613E-01      -0.13293E+00       0.10018E+01       0.32440E+01       0.62249E-01       0.42823E+01
      0      1      -0.19996E-01       0.17981E+00       0.11656E+01       0.19009E+01       0.30113E-01       0.11317E+02
      0      1       0.49732E-02       0.35153E+00      -0.54387E-01       0.76722E+01       0.24086E+00      -0.33509E+02
      0      1       0.74915E-02      -0.30174E-01       0.52312E+00       0.67723E+01       0.44249E+00      -0.98671E+01
      0      1      -0.17986E-01       0.33809E+00       0.95973E-02       0.45025E+01       0.22241E-01      -0.18315E+02
      0      1      -0.15562E-01       0.35296E+00      -0.63371E+00      -0.46405E+01      -0.11195E+00      -0.21077E+02
      0      1      -0.14771E-01       0.26997E+00      -0.84899E-02       0.64064E+01      -0.11300E+00      -0.26035E+02
      0      1       0.21869E-01      -0.11154E+00      -0.52374E+00       0.11654E+02       0.30386E+00      -0.67825E+01
      0      1       0.16609E-01      -0.11079E+00      -0.11291E+00      -0.56645E+01      -0.20719E+00       0.36179E+02
      0      1       0.86329E-02      -0.26810E-01       0.11713E+01      -0.21897E+01       0.26554E+00      -0.49039E+01
      0      1      -0.55558E-02      -0.63465E+00       0.22761E+00      -0.25203E+01      -0.31750E+00      -0.15598E+02
      0      1       0.36692E-01      -0.20840E-02       0.11208E+01      -0.61809E+01      -0.17477E-01       0.42249E+02
      0      1      -0.13726E-01       0.27317E+00       0.43449E+00       0.67861E+01      -0.30759E+00      -0.11760E+02
      0      1       0.18401E-02       0.49145E+00       0.14795E+00      -0.80300E+01       0.57577E-01       0.27651E+01
      0      1      -0.20936E-01       0.31042E+00       0.21245E+00       0.35384E+01       0.15513E+00       0.14814E+02
      0      1      -0.47189E-02       0.18630E+00      -0.14042E+01       0.68055E+01       0.17369E+00      -0.33853E+02
      0      1      -0.31347E-01      -0.69567E+00       0.32922E+00      -0.71682E+01      -0.18723E-01       0.57028E+01
      0      1       0.30488E-01      -0.16638E+00       0.26424E+00      -0.55181E+01      -0.18812E+00      -0.16758E+02
      0      1       0.18413E-01      -0.54594E-01      -0.11119E+01       0.71024E+01      -0.18956E+00       0.10633E+02
      0      1       0.24820E-02       0.30430E+00      -0.57668E+00      -0.80780E+00       0.30349E+00      -0.47096E+02
      0      1       0.49267E-02      -0.55547E+00      -0.44146E+00       0.86994E+01       0.48428E-01       0.48783E+01
      0      1       0.28602E-01      -0.93122E-01       0.28115E+00      -0.12599E+02       0.13542E+00      -0.53720E+01
      0      1       0.32100E-01      -0.25840E-01       0.64241E+00      -0.44594E+01      -0.10802E+00      -0.38006E+02
      0      1      -0.84150E-02       0.28386E+00       0.98143E+00       0.94143E+01       0.96272E-01      -0.21116E+02
      0      1       0.23469E-01      -0.19062E-01      -0.14425E+01      -0.59966E+01      -0.21351E+00       0.34128E+02
      0      1       0.12166E-01       0.50367E-01       0.11045E+01      -0.20485E+01      -0.52796E-01       0.21582E+02
      0      1      -0.56767E-03       0.16203E+00      -0.11535E+01      -0.16660E+01       0.21620E+00       0.16193E+02
      0      1       0.67517E-02      -0.14688E-01       0.95477E+00      -0.67368E+01       0.14214E+00      -0.26333E+02
      0      1      -0.13459E-01       0.41289E+00      -0.13276E+01       0.92275E+01      -0.36757E-01       0.80777E+01
      0      1       0.21465E-01      -0.42655E+00       0.13099E+01      -0.47091E+01       0.24994E+00       0.88336E+01
      0      1      -0.58689E-01      -0.74906E+00       0.48446E+00       0.30415E+01       0.55279E-02       0.11998E+02
      0      1      -0.17903E-01       0.29565E+00       0.11170E+01       0.16437E+01       0.21471E+00       0.16888E+02
      0      1       0.30446E-02       0.46057E+00       0.29630E+00      -0.11469E+02      -0.24749E+00       0.31216E+02
      0      1       0.27903E-01      -0.29910E+00      -0.45904E+00      -0.39218E+01      -0.10365E-01       0.48204E+01
      0      1       0.13037E-01       0.63729E-01      -0.40843E+00       0.44297E+01       0.81129E-02      -0.20441E+02
      0      1      -0.33330E-03       0.63538E-02      -0.10448E+01      -0.65708E+01      -0.14965E+00       0.20665E+02
