,Diameter,FWHM,dist,EY,EY2,VY,sigmaY,Pmiss,EL,sigma_b
38,7.0,5.0,16.0,5.7605786597052125e-09,3.32393081644558e-17,5.504166980470018e-20,2.346096114925818e-10,0.06315945845592147,3.426010090333499e-12,1.2
39,7.0,5.0,20.0,4.79587612762696e-09,2.3032567884367405e-17,3.2140052825235943e-20,1.7927647036138328e-10,0.051885479654403724,1.4697471552649663e-12,1.2
40,9.0,5.0,8.0,8.130664015965548e-09,6.623333534625337e-17,1.2563800573637027e-19,3.544545185723695e-10,0.07309823789110077,7.72003970922733e-12,1.2
41,9.0,5.0,10.0,7.2477722464669205e-09,5.261899440397404e-17,8.879186731788817e-20,2.979796424554674e-10,0.064486724336981,4.613070315425446e-12,1.2
42,9.0,5.0,12.0,6.502136592387249e-09,4.234199588465302e-17,6.421561859175035e-20,2.534080081444751e-10,0.057197171300345906,2.7817304035589954e-12,1.2
43,9.0,5.0,16.0,5.3403385221417636e-09,2.855499938394886e-17,3.578385287758557e-20,1.8916620437484484e-10,0.04550810441053806,1.0282543161510971e-12,1.2
44,9.0,5.0,20.0,4.475858481289054e-09,2.0054606686672053e-17,2.1297542144895885e-20,1.4593677447749722e-10,0.0367319137217812,3.8726214502370596e-13,1.2
45,11.0,5.0,8.0,7.138401734515877e-09,5.1022422714128937e-17,6.564339078965583e-20,2.5620966178045635e-10,0.04701853669346297,1.5457418386791531e-12,1.2
46,11.0,5.0,10.0,6.416523880178939e-09,4.12195681837145e-17,4.778947880791928e-20,2.186080483603458e-10,0.041229443302009866,8.600040524704063e-13,1.2
47,11.0,5.0,12.0,5.800155442710875e-09,3.3677234878651516e-17,3.543171904292575e-20,1.8823315075439224e-10,0.036273242012969914,4.780712889534049e-13,1.2
48,11.0,5.0,16.0,4.818078603064922e-09,2.3234377163368188e-17,2.0495738056159946e-20,1.431633265056381e-10,0.0283413253951383,1.4750177812956006e-13,1.2
49,11.0,5.0,20.0,4.0760194923479135e-09,1.662656979167034e-17,1.263488967019661e-20,1.1240502511096472e-10,0.022645891574501406,4.7582454155264276e-14,1.2
50,3.0,6.0,8.0,6.822748915428706e-09,4.665440565976738e-17,1.045028967837919e-19,3.232690779888975e-10,0.08644627444618218,1.0812149388196037e-11,1.2
51,3.0,6.0,10.0,6.100178126012635e-09,3.7286482378702556e-17,7.430920961953393e-20,2.725971562939238e-10,0.07692775187595992,6.788032706464898e-12,1.2
52,3.0,6.0,12.0,5.487807677918119e-09,3.017008154397968e-17,5.4048434162625723e-20,2.3248319113997408e-10,0.06880768485664081,4.30412294131503e-12,1.2
53,3.0,6.0,16.0,4.538820402633909e-09,2.0631617620900354e-17,3.072697353451326e-20,1.7529111082571547e-10,0.05601148002574172,1.8089378813826116e-12,1.2
54,3.0,6.0,20.0,3.82885862036968e-09,1.4679029000807775e-17,1.8870666028564626e-20,1.3737054279780883e-10,0.04697311954152743,8.262337401252588e-13,1.2
55,5.0,6.0,8.0,8.211710384798748e-09,6.759193106396471e-17,1.5974362015310888e-19,3.996793967082978e-10,0.09102920651848644,1.5160553674929347e-11,1.2
56,5.0,6.0,10.0,7.301731685838916e-09,5.3427298260695896e-17,1.1201264871187158e-19,3.3468290770798495e-10,0.08097806880014646,9.506516754591465e-12,1.2
57,5.0,6.0,12.0,6.532790303075261e-09,4.275690568990862e-17,7.955654595445532e-20,2.8205769969007284e-10,0.07163421255537433,5.8209916194543e-12,1.2
58,5.0,6.0,16.0,5.3533182104895705e-09,2.8702364897533115e-17,4.4349034773859016e-20,2.105921052030655e-10,0.05843133983453643,2.4606359056820954e-12,1.2
59,5.0,6.0,20.0,4.4762428041249945e-09,2.0063049009549073e-17,2.629936806827742e-20,1.621707990615987e-10,0.04811137284798524,1.0520588393751484e-12,1.2
60,7.0,6.0,8.0,8.100604274049098e-09,6.575397518078739e-17,1.3418557604486986e-19,3.6631349421618346e-10,0.07880651461959892,9.707701079532746e-12,1.2
61,7.0,6.0,10.0,7.211520781695474e-09,5.2100304769118427e-17,9.427278429273127e-20,3.070387341895665e-10,0.06954609844456051,5.851551393109807e-12,1.2
62,7.0,6.0,12.0,6.460407836650821e-09,4.180421168867303e-17,6.73422728136904e-20,2.5950389749229277e-10,0.061249951963185854,3.4733543095902997e-12,1.2
63,7.0,6.0,16.0,5.302442343736144e-09,2.8153373837606586e-17,3.747902896053775e-20,1.9359501274706887e-10,0.049026841398745025,1.3323403405442126e-12,1.2
64,7.0,6.0,20.0,4.446337246816004e-09,1.9792278175485862e-17,2.236326306254185e-20,1.4954351561516083e-10,0.03987298511588235,5.258091890339022e-13,1.2
65,9.0,6.0,8.0,7.468695083017412e-09,5.586967182396794e-17,8.826558087947466e-20,2.9709523873578764e-10,0.059923526690942315,3.7344186991418205e-12,1.2
66,9.0,6.0,10.0,6.684857475855674e-09,4.4750337837102335e-17,6.301836459884321e-20,2.5103458845115986e-10,0.052452101860835876,2.1272854187387724e-12,1.2
67,9.0,6.0,12.0,6.024273323395031e-09,3.633792471071985e-17,4.605563575083406e-20,2.146057682142632e-10,0.04615431347400873,1.2204599848099002e-12,1.2
68,9.0,6.0,16.0,4.978125431740616e-09,2.480792592986368e-17,2.6193115720982376e-20,1.6184287355636755e-10,0.03644688530956483,4.179632867758504e-13,1.2
69,9.0,6.0,20.0,4.192210099077595e-09,1.759037318049578e-17,1.5747665687601892e-20,1.2548970351228778e-10,0.0289545550935821,1.4025701764344196e-13,1.2
70,11.0,6.0,8.0,6.6716861837766474e-09,4.456196937992566e-17,5.057284512945393e-20,2.248840704217485e-10,0.040102830541684904,8.061999781620396e-13,1.2
71,11.0,6.0,10.0,6.015071590242589e-09,3.6218040094113086e-17,3.6953858369572454e-20,1.9223386374302644e-10,0.034795385232261965,4.2166092401001023e-13,1.2
