n_el  name       dist[m]     Energy[MeV/u] (W-Wtmp)/Wtmp,%   x_rms[cm]      y_rms[cm]      Xmax[cm]       Ymax[cm]     phi_rms[deg]   phi_max[deg]   DW/W[rel.u.]   4*exn_rms[cm*mrad]   exn99.5[cm*mrad]    exn_max[cm*mrad]   4*eyn_rms[cm*mrad]   eyn99.5[cm*mrad]    eyn_max[cm*mrad]   4*ezn_rms[keV/u*ns]  ezn99.5[keV/u*ns]    ezn_max[keV/u*ns]     Xc[cm]       X'c[mrad]        Yc[cm]       Y'c[mrad]        btgm          Zc[deg]          a_x        b_x[cm/mrad]       a_y        b_y[cm/mrad]       a_z        b_z[deg/(%ofD_W/W)]  #of_lost_part  total#of_par
  44  drift      6.70850       25.53982        0.20280        1.31478        2.43679        3.75316        7.00674        5.09343       15.14831        0.00461           7.56918            13.13380            16.06581             7.96290            16.26729            25.92396            23.31748            62.48996            99.74455          0.00038        0.00256       -0.00033        0.00630        0.23553        0.69719       -3.29060        0.21516        4.03009        0.70254        1.67958          21.58151              0.0         10001.0
  45  rfgap      6.70850       25.94609        0.20718        1.31478        2.43679        3.75316        7.00674        5.05422       15.00799        0.00365           7.56669            13.12485            16.13380             7.98386            16.31723            26.38195            23.59159            63.74867           105.80692          0.00038        0.00284       -0.00033        0.00669        0.23742        0.68845       -3.41151        0.21695        3.65384        0.70630        1.16959          21.33677              0.0         10001.0
  46  drift      7.01650       25.94624        0.20776        1.96680        2.05683        5.62749        5.65965        5.41899       15.45821        0.00415           7.56342            13.11270            16.40113             8.02178            16.65548            27.64394            23.77928            64.54583           103.35601          0.00047        0.00289       -0.00012        0.00670        0.23742        0.53194       -5.29885        0.48570        2.95660        0.50084        1.57003          24.33413              0.0         10001.0
  47  rfgap      7.01650       26.35240        0.20618        1.96680        2.05683        5.62749        5.65965        5.37798       15.31658        0.00318           7.56489            13.10727            16.51829             8.04095            16.86688            27.99482            24.19102            67.89696           112.31921          0.00047        0.00337       -0.00012        0.00704        0.23929        0.52413       -5.55430        0.48945        2.68627        0.50360        1.00188          23.92847              0.0         10001.0
  48  drift      7.17050       26.35249        0.20650        2.31277        1.89035        6.60312        5.03809        5.51600       15.44771        0.00338           7.56579            13.04832            16.67517             8.05435            16.99359            28.44115            24.24194            68.43239           111.36272          0.00052        0.00335       -0.00001        0.00704        0.23929        0.44779       -6.59559        0.67671        2.40502        0.42466        1.16825          25.11949              0.0         10001.0
  49  quad       7.46950       26.35249        0.20650        2.30562        2.10206        6.55251        5.29431        5.79758       15.76481        0.00338           7.56800            13.10309            16.55475             8.07692            17.08725            29.03526            24.24222            68.32544           111.36991          0.00048       -0.00609        0.00021        0.00862        0.23929        0.22563        6.70606        0.67234       -6.35482        0.52364        1.26978          27.74932              0.0         10001.0
  50  drift      7.62350       26.35251        0.20659        1.95339        2.49691        5.52806        6.18596        5.95328       15.97376        0.00356           7.57040            13.10205            16.67989             8.08438            17.24322            29.30029            24.35491            67.48544           111.45407          0.00038       -0.00612        0.00034        0.00864        0.23929        0.18136        5.62895        0.48245       -7.59985        0.73816        1.42511          29.12439              0.0         10001.0
  51  rfgap      7.62350       26.75681        0.19292        1.95339        2.49691        5.52806        6.18596        5.90910       15.82863        0.00256           7.57768            13.09612            16.73625             8.10369            17.25402            29.26891            25.04323            73.45985           127.20320          0.00038       -0.00560        0.00034        0.00919        0.24116        0.17549        5.37982        0.48576       -7.95195        0.74216        0.70800          28.33706              0.0         10001.0
  52  drift      7.93150       26.75686        0.19308        1.29737        3.32650        3.60658        8.05565        6.10247       16.41333        0.00283           7.58319            13.21064            16.90421             8.11769            17.35651            29.79658            25.12223            72.99937           124.04311          0.00021       -0.00570        0.00063        0.00922        0.24116        0.10269        3.45534        0.21412      -10.68758        1.31497        0.97650          30.12697              0.0         10001.0
  53  rfgap      7.93150       27.16169        0.17687        1.29737        3.32650        3.60658        8.05565        6.05778       16.26464        0.00216           7.58850            13.22007            16.93795             8.16186            17.75995            29.52610            26.01461            79.50236           144.15659          0.00021       -0.00530        0.00063        0.00996        0.24303        0.09729        3.33994        0.21562      -11.27389        1.31796        0.27272          29.10746              0.0         10001.0
