NAME,S,X,Y,PX,PY,ALFX,ALFY,BETX,BETY,EMITX,EMITY,DX,DY,SIGX,SIGY
QM8,6.405,0,0,0,0,-0.9696823511,-3.616908236,0.7472670947,11.5205299,0,0,0,0,0.016814128341768975,0.0660195646760087
DR22,6.6315,0,0,0,0,-2.866097859,6.692952287,1.627417278,9.95349984,0,0,0,0,0.024813377906062677,0.06136550824640101
RF15,6.7085,0,0,0,0,-3.397810267,5.90270952,2.11013573,9.037405654,0,0,0,0,0.02825476010141411,0.058473395929705754
DR23,6.8625,0,0,0,0,-4.297534254,5.302513281,3.274725913,7.341641101,0,0,0,0,0.035198479786766525,0.05270271682027796
RF16,7.0165,0,0,0,0,-5.424954158,4.420693788,4.74829893,5.872882618,0,0,0,0,0.04238434292058005,0.0471370163044626
DR24,7.0935,0,0,0,0,-5.911194629,4.155301642,5.608402835,5.222198926,0,0,0,0,0.04606340403495989,0.0444491166129978
QM9,7.32,0,0,0,0,0.02738103372,-0.2898975023,7.526496803,4.104646098,0,0,0,0,0.053362094715415795,0.03940708292150106
DR25,7.5465,0,0,0,0,5.944376454,-4.99355535,5.588144569,5.529548924,0,0,0,0,0.045980135328867015,0.04573843294732378
RF17,7.6235,0,0,0,0,5.227217335,-5.64861483,4.759872592,6.362860929,0,0,0,0,0.04243596598750703,0.049063965259205894
DR26,7.7775,0,0,0,0,4.317576485,-6.439198104,3.300788576,8.210688653,0,0,0,0,0.03533826981821226,0.0557347709501654
RF18,7.9315,0,0,0,0,3.309439617,-7.708376063,2.135928673,10.37853249,0,0,0,0,0.028426919621693893,0.06266202178179922
DR27,8.0085,0,0,0,0,2.878134067,-8.157075002,1.659017607,11.60137194,0,0,0,0,0.025053126207141587,0.06625079648775789
QM10,8.235,0,0,0,0,0.9646645924,3.899821281,0.7606896848,13.63251859,0,0,0,0,0.016964465941790262,0.07181654003157861
DR28,8.4615,0,0,0,0,-0.07561442693,12.84271737,0.6175703824,8.678061474,0,0,0,0,0.015285500321603078,0.057299098577614976
RF19,8.5385,0,0,0,0,-0.2302475918,11.05851226,0.6437026094,6.863129758,0,0,0,0,0.015605549423236048,0.050956258674656425
DR29,8.6925,0,0,0,0,-0.4843995468,8.267558231,0.7547315657,3.860594212,0,0,0,0,0.016897898056019562,0.0382176084130471
RF20,8.8465,0,0,0,0,-0.780779669,5.399486859,0.9517510797,1.738093679,0,0,0,0,0.018975713633245902,0.025643247183910894
DR30,8.9235,0,0,0,0,-0.9129698926,4.043427982,1.084139314,1.000008869,0,0,0,0,0.020252515599067364,0.019450839689453405
QM11,9.15,0,0,0,0,0.05714617356,0.1115373918,1.394664234,0.06819969135,0,0,0,0,0.022970542938201353,0.005079577995791293
DR31,9.3765,0,0,0,0,0.9810864754,-3.71792038,1.040809672,0.8775950847,0,0,0,0,0.01984367421221732,0.018221474587408623
